"ID","Date","Age","Height","HomeTown","Name","Prev","RStreak","Weight"
750,"2015-06-22",38,170,"Ibaraki Japan","Tatsuya Kawajiri",2,0,65
2242,"2015-06-22",27,185,"Ornaset, Lulea Sweden","Niklas Backstrom",2,0,65
2089,"2015-06-22",29,175,"Gdynia Poland","Piotr Hallmann",2,0,70
366,"2015-06-22",38,170,"Omsk Russia","Dennis Siver",2,0,65
2193,"2015-06-22",32,175,"Alfei Menashe, Samaria Israel","Noad Lahat",2,1,65
2529,"2015-06-22",28,175,"Dagestan Russia","Magomed Mustafaev",0,0,70
2341,"2015-06-22",34,165,"Newport Beach, California United States","Jessica Penne",1,1,52
2559,"2015-06-22",34,182,"Watford England","Steve Kennedy",0,0,77
2326,"2015-06-22",24,167,"Paris France","Taylor Lapilus",1,1,61
2095,"2015-05-31",32,162,"Januaria, Minas Gerais Brazil","Wilson Reis",3,2,56
2011,"2015-05-31",31,165,"Rio Grande do Norte Brazil","Jussier Formiga",2,2,56
2036,"2015-06-01",30,180,"Bushmills Northern Ireland","Norman Parke",3,0,70
2469,"2015-05-31",29,180,"Tres Rios, Rio de Janeiro Brazil","Alex Oliveira",1,0,77
2509,"2015-06-01",32,180,"Hundested Denmark","Nicolas Dalby",0,0,77
2279,"2015-05-30",35,165,"Belo Horizonte, MG Brazil","Juliana Lima",2,1,52
2048,"2015-05-31",28,182,"Minas Gerais Brazil","Lucas Martins",2,0,65
511,"2015-06-05",33,175,"Fortaleza Brazil","Thiago Alves",2,2,70
1994,"2015-05-31",33,170,"Quixada, Ceara Brazil","Rony Jason",2,0,65
2508,"2015-06-01",30,180,"Francisco Beltrao, Parana Brazil","Elizeu Zaleski dos Santos",0,0,77
2542,"2015-05-30",28,167,"Sorocaba, Sao Paulo Brazil","Ericka Almeida",0,0,52
1997,"2015-06-01",38,175,"Amarante, Piaui Brazil","Francisco Trinaldo",4,2,70
2319,"2015-06-01",33,177,"Rio de Janeiro Brazil","Wendell Oliveira",0,0,77
1493,"2015-05-31",34,177,"Kona, Hawaii USA","KJ Noons",2,0,70
1922,"2015-06-01",35,187,"St. John, New Brunswick Canada","Ryan Jimmo",2,0,93
2315,"2015-05-31",28,180,"Durant, Oklahoma USA","Damon Jackson",1,0,65
2085,"2015-06-01",37,185,"Xapuri, Acre Brazil","Francimar Barroso",1,0,93
2544,"2015-06-01",24,182,"Liverpool England","Darren Till",0,0,77
2213,"2015-05-31",26,172,"Srebrenica Bosnia","Mirsad Bektic",2,2,65
663,"2015-06-05",32,187,"Albuquerque, New Mexico USA","Carlos Condit",1,0,77
2277,"2015-08-02",28,162,"Mossoro, Rio Grande do Norte Brazil","Claudia Gadelha",2,0,52
2575,"2015-02-08",26,182,"Curitibanos, Santa Catarina Brazil","Glaico Franca Moreira",0,0,70
2061,"2016-03-01",30,187,"Hattiesburg, MS USA","Clint Hester",3,0,93
2569,"2015-08-02",0,162,"0","Jessica Aguilar",0,0,52
