"Fight_ID","ID","Event_ID","Date","winner","winby","corner","Last_round","Max_round","RStreak","Height","Weight","Age","HomeTown"
6487,808,809,"2017-03-06","red","KO/TKO","red",3,3,0,193,120,36,"Hounslow England"
6576,2405,809,"2017-03-06","red","DEC","red",3,3,0,175,61,25,"Granada Hills, California United States"
6570,2753,809,"2017-03-06","red","KO/TKO","red",3,3,1,190,113,31,"Uniejow Poland"
6559,1737,809,"2017-03-06","red","SUB","blue",2,3,1,167,65,31,"Brenham, Texas United States"
6493,1486,809,"2017-03-06","blue","KO/TKO","blue",3,3,3,177,65,32,"Portage, Indiana United States"
6563,2324,809,"2017-03-06","blue","DEC","blue",3,3,3,182,84,39,"Melbourne, Victoria Australia"
6497,1386,809,"2017-03-06","red","DEC","red",5,5,0,175,77,34,"St. Louis, Missouri United States"
6509,2784,809,"2017-03-06","blue","DEC","red",3,3,1,175,70,25,"Neptune, New Jersey United States"
6575,2870,809,"2017-03-06","blue","SUB","blue",1,3,0,162,52,29,"San Jose, California United States"
6560,2834,809,"2017-03-06","red","KO/TKO","blue",1,3,1,193,93,29,"Airdrie Scotland"
6487,735,809,"2017-03-06","red","KO/TKO","blue",3,3,0,177,120,43,"South Auckland New Zealand"
6506,2338,808,"2017-02-20","blue","DEC","red",3,3,1,154,52,29,"Los Angeles, California United States"
6464,2831,808,"2017-02-20","blue","KO/TKO","red",2,3,1,182,84,27,"Abertillery South Wales"
6528,2844,808,"2017-02-19","red","SUB","red",1,3,1,185,84,29,"Racine, Wisconsin United States"
6466,2227,808,"2017-02-22","blue","DEC","red",3,3,1,185,77,35,"St. Tropez France"
6467,2852,808,"2017-02-20","red","DEC","red",3,3,0,172,61,29,"Laval, Quebec Canada"
6526,2022,808,"2017-02-20","red","SUB","red",1,3,2,167,61,36,"Takoma Park, Maryland United States"
6463,2224,808,"2017-02-22","red","DEC","red",3,3,1,185,84,28,"Toronto, Ontario Canada"
6465,2316,808,"2017-02-21","red","KO/TKO","red",1,3,0,180,70,32,"Philadelphia, Pennsylvania United States"
6527,947,808,"2017-02-22","red","DEC","red",3,3,0,175,84,33,"Ada, Oklahoma United States"
6523,1515,808,"2017-02-20","red","KO/TKO","blue",2,5,0,200,115,34,"Honolulu, Hawaii United States"
6529,2862,808,"2017-02-20","blue","DEC","blue",3,3,0,170,65,30,"St. Anthony , Newfoundland Canada"
6465,2819,808,"2017-02-21","red","KO/TKO","blue",1,3,0,180,70,34,"Woodbridge, Ontario Canada"
6463,1991,808,"2017-02-22","red","DEC","blue",3,3,3,185,84,32,"Ibitinga, Sao Paulo Brazil"
6467,2571,808,"2017-02-20","red","DEC","blue",3,3,0,170,61,34,"Sao Paulo Brazil"
6466,2107,808,"2017-02-22","blue","DEC","blue",3,3,3,182,77,30,"La Plata Argentina"
6526,2866,808,"2017-02-20","red","SUB","blue",1,3,0,167,61,28,"Anchorage, Alaska  United States"
6506,2350,808,"2017-02-20","blue","DEC","blue",3,3,0,162,52,31,"Baghdad Iraq"
6529,1978,808,"2017-02-20","blue","DEC","red",3,3,0,172,65,31,"Spokane, Washington United States"
6527,768,808,"2017-02-22","red","DEC","blue",3,3,0,175,77,39,"Matanzas Cuba"
6523,2082,808,"2017-02-20","red","KO/TKO","red",2,5,4,190,118,32,"New Orleans, Louisiana United States"
6528,2803,808,"2017-02-19","red","SUB","blue",1,3,1,190,84,35,"Grand Falls-Winsor, Newfoundland Canada"
6464,2087,808,"2017-02-20","blue","KO/TKO","blue",2,3,0,182,84,33,"Rio de Janeiro Brazil"
6480,1137,807,"2017-02-13","blue","DEC","red",3,3,3,172,70,32,"El Paso, Texas United States"
6468,1744,807,"2017-02-13","blue","DEC","blue",5,5,2,175,65,32,"Utrecht The Netherlands"
6508,235,807,"2017-02-13","red","DEC","red",3,3,0,187,84,41,"Curitiba Brazil"
6481,2095,807,"2017-02-13","red","DEC","red",3,3,2,162,56,32,"Januaria, Minas Gerais Brazil"
6471,347,807,"2017-02-13","red","DEC","blue",3,3,1,180,77,38,"Rio De Janeiro Brazil"
6472,2739,807,"2017-02-13","blue","DEC","red",3,3,2,190,77,26,"Spanish Town Jamaica"
6491,2821,807,"2017-02-13","red","DEC","red",3,3,0,182,70,27,"Marshalltown, Iowa United States"
6469,2337,807,"2017-02-13","red","DEC","blue",3,3,2,180,93,33,"Dallas, Texas United States"
6496,896,807,"2017-02-13","red","SUB","red",1,3,1,185,84,37,"Espiritos Santos Brazil"
6482,1595,807,"2017-02-13","red","DEC","red",3,3,0,175,70,28,"Lafayette, Louisiana United States"
