"Event_ID","Fight_ID","ID","corner","Date","Name"
799,6377,2424,"blue","2016-12-11","Shamil Abdurakhimov"
799,6381,2844,"blue","2016-12-11","Gerald Meerschaert"
799,6402,2789,"red","2016-12-11","Andrew Sanchez"
799,6384,2803,"blue","2016-12-11","Ryan Janes"
799,6381,2786,"red","2016-12-11","Joe Gigliotti"
799,6378,2659,"red","2016-12-11","Francis Ngannou"
799,6382,2848,"blue","2016-12-11","JJ Aldrich"
799,6440,2847,"blue","2016-12-11","Shane Burgos"
799,6385,2281,"red","2016-12-11","Corey Anderson"
799,6407,2822,"blue","2016-12-11","Marc Diakiese"
799,6402,1810,"blue","2016-12-11","Trevor Smith"
799,6378,2215,"blue","2016-12-11","Anthony Hamilton"
799,6377,2082,"red","2016-12-11","Derrick Lewis"
799,6380,2849,"blue","2016-12-11","Saparbeg Safarov"
799,6440,2289,"red","2016-12-11","Tiago Trator"
799,6437,2697,"red","2016-12-11","Justine Kish"
798,6400,2022,"red","2016-12-05","Sara McMann"
798,6341,965,"red","2016-12-05","Jake Ellenberger"
798,6373,2709,"red","2016-12-05","Dong Hyun Kim"
798,6413,2825,"red","2016-12-05","Brandon Moreno"
798,6439,2266,"red","2016-12-05","Rob Font"
798,6341,1272,"blue","2016-12-05","Jorge Masvidal"
798,6366,2306,"red","2016-12-05","Kailin Curran"
798,6307,2780,"blue","2016-12-05","Devin Clark"
798,6306,2726,"blue","2016-12-05","Ryan Hall"
798,6400,1839,"blue","2016-12-05","Alexis Davis"
798,6308,2747,"red","2016-12-05","Elvis Mutapcic"
798,6439,2846,"blue","2016-12-05","Matt Schnell"
798,6366,2832,"blue","2016-12-05","Jamie Moyle"
798,6401,2337,"blue","2016-12-05","Jared Cannonier"
798,6308,1843,"blue","2016-12-05","Anthony Smith"
798,6401,2765,"red","2016-12-05","Ion Cutelaba"
798,6413,2134,"blue","2016-12-05","Ryan Benoit"
798,6365,911,"red","2016-12-05","Joseph Benavidez"
798,6444,1495,"red","2016-12-05","Demetrious Johnson"
798,6365,2299,"blue","2016-12-05","Henry Cejudo"
798,6444,1970,"blue","2016-12-05","Tim Elliott"
798,6307,2794,"red","2016-12-05","Josh Stansbury"
798,6306,374,"red","2016-12-05","Gray Maynard"
798,6373,2295,"blue","2016-12-05","Brendan O'Reilly"
797,6320,2324,"red","2016-11-27","Daniel Kelly"
797,6320,1550,"blue","2016-11-27","Chris Camozzi"
797,6426,2840,"blue","2016-11-27","Tyson Pedro"
797,6363,2724,"blue","2016-11-27","Jason Knight"
797,6349,2258,"red","2016-11-29","Jake Matthews"
797,6367,2762,"red","2016-11-27","Damien Brown"
797,6422,2372,"red","2016-11-27","Seohee Ham"
797,6347,2228,"red","2016-11-27","Richard Walsh"
797,6432,2359,"red","2016-11-27","Marlon Vera"
797,6321,1806,"blue","2016-11-28","Derek Brunson"
797,6422,2808,"blue","2016-11-27","Danielle Taylor"
797,6368,2610,"blue","2016-11-27","Geane Herrera"
797,6347,2779,"blue","2016-11-27","Jonathan Meunier"
797,6363,2254,"red","2016-11-27","Dan Hooker"
797,6349,2585,"blue","2016-11-29","Andrew Holbrook"
797,6368,2505,"red","2016-11-27","Ben Nguyen"
797,6374,2298,"red","2016-11-27","Yao Zhikui"
797,6367,2019,"blue","2016-11-27","Jon Tuck"
797,6369,2626,"red","2016-11-27","Yusuke Kasuya"
797,6374,2823,"blue","2016-11-27","Jenel Lausa"
797,6426,2790,"red","2016-11-27","Khalil Rountree"
797,6321,2037,"red","2016-11-28","Robert Whittaker"
797,6360,1549,"red","2016-11-27","Kyle Noke"
797,6432,2182,"blue","2016-11-27","Ning Guangyou"
797,6360,2104,"blue","2016-11-27","Omari Akhmedov"
